title,adult,genres,original_language,popularity,runtime,vote_average,vote_count,actors,director,keywords,release_year
Shrek the Third,False,"['Fantasy', 'Adventure', 'Animation', 'Comedy', 'Family']",en,73.726,93,6.29,8532,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz', 'Antonio Banderas']",['Chris Miller'],"['ship', 'island', 'ambush', 'kingdom', 'boarding school', 'liberation of prisoners', 'pregnancy', 'traitor', 'shipwreck', 'stage', 'sadness', 'transformation', 'assault', 'prince', 'theater play', 'tricks', 'heir to the throne', 'conciliation', 'sequel', 'teacher', 'best friend', 'dragon', 'cowardliness', 'capture', 'duringcreditsstinger', 'ogre', 'cartoon donkey']",2007
Seksi: Pantasya at Pelikula,False,['Documentary'],tl,73.638,47,0.0,0,"['AJ Raval', 'Alma Moreno', 'Angeli Khang', 'Jay Manalo']",[],[],2024
Inglourious Basterds,False,"['Drama', 'Thriller', 'War']",en,73.633,153,8.216,21253,"['Brad Pitt', 'Mélanie Laurent', 'Christoph Waltz', 'Michael Fassbender']",['Quentin Tarantino'],"['guerrilla warfare', 'swastika', 'paris, france', 'nazi', 'self sacrifice', 'sadism', 'dynamite', 'mexican standoff', 'world war ii', 'jew persecution', 'masochism', 'anti-semitism', 'german occupation of france', 'british politics', 'revisionist history', 'adolf hitler']",2009
The Twilight Saga: Breaking Dawn - Part 2,False,"['Adventure', 'Fantasy', 'Drama', 'Romance']",en,73.455,115,6.466,8513,"['Robert Pattinson', 'Kristen Stewart', 'Taylor Lautner', 'Peter Facinelli']",['Bill Condon'],"['based on novel or book', 'vampire', 'villainess', 'romance', 'teen movie', 'werewolf', 'supernatural creature', 'super strength', 'imprinting', 'cross breed', 'bloodsucker', 'grudge', 'chief of police', 'wolf pack', 'misinformation', 'seeing the future', 'based on young adult novel']",2012
Demon Slayer: Kimetsu no Yaiba Sibling's Bond,False,"['Action', 'Animation', 'Fantasy']",ja,73.412,105,7.923,181,"['Natsuki Hanae', 'Akari Kito', 'Takahiro Sakurai', 'Hochu Otsuka']",['Haruo Sotozaki'],"['edited from tv series', 'anime']",2019
The Imitation Game,False,"['History', 'Drama', 'Thriller', 'War']",en,73.312,113,8.007,16291,"['Benedict Cumberbatch', 'Keira Knightley', 'Matthew Goode', 'Rory Kinnear']",['Morten Tyldum'],"['england', 'homophobia', 'world war ii', 'mathematician', 'genius', 'biography', 'male homosexuality', 'code breaking', 'lgbt', 'logician', 'cryptography', 'math genius', 'gay theme', 'codes']",2014
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,False,"['Action', 'Animation', 'Adventure', 'Fantasy', 'Thriller']",ja,73.156,117,8.242,3563,"['Natsuki Hanae', 'Akari Kito', 'Hiro Shimono', 'Yoshitsugu Matsuoka']",['Haruo Sotozaki'],"['fight', 'magic', 'supernatural', 'psychology', 'gore', 'coming of age', 'survival', 'tragedy', 'based on manga', 'demon', 'historical', 'family', 'mutilation', 'adult animation', 'dark fantasy', 'shounen', 'anime', 'taisho']",2020
Kung Fu Panda,False,"['Action', 'Adventure', 'Animation', 'Family', 'Comedy']",en,72.962,90,7.3,10805,"['Jack Black', 'Angelina Jolie', 'Dustin Hoffman', 'Ian McShane']",['Mark Osborne'],"['martial arts', 'kung fu', 'strong woman', 'china', 'tiger', 'bravery', 'restaurant', 'shop', 'panda', 'sensei', 'anthropomorphism', 'fighting', 'master', 'destiny', 'crane', 'aftercreditsstinger', 'wuxia', 'monkey warrior', 'viper', 'red panda']",2008
Real Steel,False,"['Action', 'Science Fiction', 'Drama']",en,72.95,127,6.987,7775,"['Hugh Jackman', 'Dakota Goyo', 'Evangeline Lilly', 'Kevin Durand']",['Shawn Levy'],"['future', 'sports', 'parent child relationship', 'fight', 'robot', 'prizefight', 'father son reunion', 'robot fighting']",2011
Glass Onion: A Knives Out Mystery,False,"['Comedy', 'Crime', 'Mystery']",en,72.782,140,7.052,4888,"['Daniel Craig', 'Edward Norton', 'Janelle Monáe', 'Kathryn Hahn']",['Rian Johnson'],"['detective', 'greece', 'investigation', 'mona lisa (la gioconda)', 'satire', 'sequel', 'murder', 'billionaire', 'whodunit', 'puzzle box', 'clue', 'identical twin', 'murder mystery', 'arrested development', 'covid-19']",2022
Eternals,False,"['Science Fiction', 'Action', 'Adventure']",en,72.566,156,6.901,7757,"['Gemma Chan', 'Richard Madden', 'Angelina Jolie', 'Kumail Nanjiani']",['Chloé Zhao'],"['superhero', 'supernatural', 'based on comic', 'alien', 'super power', 'aftercreditsstinger', 'marvel cinematic universe (mcu)', 'sign languages', 'ancient', 'god-like']",2021
Joker,False,"['Crime', 'Thriller', 'Drama']",en,72.538,122,8.165,24015,"['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz', 'Frances Conroy']",['Todd Phillips'],"['dream', 'street gang', 'society', 'psychopath', 'clown', 'villain', 'based on comic', 'murder', 'psychological thriller', 'criminal mastermind', 'mental illness', 'anarchy', 'character study', 'clown makeup', 'subway train', 'social realism', 'supervillain', 'tv host', '1980s', 'mother son relationship', 'origin story', 'falling into madness']",2019
PAW Patrol: The Movie,False,"['Animation', 'Family', 'Adventure', 'Comedy']",en,72.398,86,7.422,1178,"['Iain Armitage', 'Lilly Bartlam', 'Will Brisbin', 'Ron Pardo']",['Cal Brunker'],"['cartoon', 'dog', 'animal', 'kids']",2021
In Its Wake,False,['Horror'],en,72.366,84,3.0,1,"['Elvis Stojko', 'Paige Foskett', 'Kenneth Bemister']",['Lee Foster'],[],2023
Waiting for Dali,False,"['Comedy', 'Romance']",es,72.339,114,8.0,3,"['José Garcia', 'Iván Massagué', 'Paco Tous', 'Nicolas Cazalé']",['David Pujol'],[],2023
Three Thousand Years of Longing,False,"['Drama', 'Adventure', 'Fantasy', 'Romance']",en,72.201,108,6.893,1097,"['Tilda Swinton', 'Idris Elba', 'Erdil Yaşaroğlu', 'Sabrina Elba']",['George Miller'],"['mythology', 'longing', 'djinn', 'desire', 'storytelling', 'wish fulfillment', 'genie', 'public speaking', 'istanbul, turkey', 'scholar', 'lonely woman', 'wishes', 'doctorate']",2022
Scream VI,False,"['Horror', 'Crime', 'Thriller']",en,72.026,123,7.094,2213,"['Melissa Barrera', 'Jenna Ortega', 'Jasmin Savoy Brown', 'Mason Gooding']",['Matt Bettinelli-Olpin'],"['mask', 'new york city', 'trauma', 'halloween', 'college', 'fake identity', 'sequel', 'conspiracy theory', 'revenge', 'public murder', 'murder', 'social commentary', 'serial killer', 'police corruption', 'slasher', 'whodunit', 'multiple stabbings', 'brutality', 'killing spree', 'self-referential', 'crime spree', 'aftercreditsstinger', 'movie fan', 'copycat killer', 'generation z', 'fbi agent']",2023
The Block Island Sound,False,"['Horror', 'Science Fiction']",en,71.994,103,5.255,212,"['Michaela McManus', 'Chris Sheffield', 'Neville Archambault', 'Matilda Lawler']",['Kevin McManus'],"['sea', 'island', 'alien abduction', 'electronics']",2021
Spider-Man 3,False,"['Action', 'Adventure', 'Science Fiction']",en,71.799,139,6.407,13407,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco', 'Thomas Haden Church']",['Sam Raimi'],"['amnesia', 'dual identity', ""love of one's life"", 'loss of loved one', 'forgiveness', 'hostility', 'superhero', 'sandstorm', 'spider', 'wretch', 'sand', 'narcissism', 'egomania', 'based on comic', 'sequel', 'revenge', 'symbiote']",2007
Tarzan,False,"['Family', 'Adventure', 'Animation', 'Drama']",en,71.769,88,7.404,6394,"['Tony Goldwyn', 'Minnie Driver', 'Glenn Close', 'Alex D. Linz']",['Kevin Lima'],"['baby', 'africa', 'gorilla', 'adoption', 'feral child', 'tarzan', 'nest', 'anthropomorphism', 'jungle', 'camp', 'orphan']",1999
Room in Rome,False,"['Drama', 'Romance']",es,71.622,109,6.41,657,"['Elena Anaya', 'Natasha Yarovenko', 'Enrico Lo Verso', 'Najwa Nimri']",['Julio Medem'],"['hotel', 'hotel room', 'rome, italy', 'female friendship', 'one-night stand', 'lesbian sex', 'based on movie', 'lying', 'erotic movie', 'intimacy', 'gay theme', 'lesbian']",2010
"Miraculous World: Paris, Tales of Shadybug and Claw Noir",False,"['Animation', 'Adventure', 'Action', 'Fantasy', 'Family']",fr,71.618,50,7.1,86,"['Annouck Hautbois', 'Benjamin Bollen', 'Marie Nonnenmacher', 'Thierry Kazazian']",['Thomas Astruc'],"['paris, france', 'superhero', 'kids', 'tv movie']",2023
The Mummy,False,"['Adventure', 'Action', 'Fantasy']",en,71.466,124,6.916,8533,"['Brendan Fraser', 'Rachel Weisz', 'John Hannah', 'Arnold Vosloo']",['Stephen Sommers'],"['egypt', 'cairo', 'library', 'secret passage', 'pastor', 'pyramid', 'sandstorm', 'solar eclipse', 'mummy', 'foreign legion', 'nile', 'secret society', 'treasure hunt', 'remake', 'archaeologist', 'tomb', 'book of the dead', 'ancient egypt', 'opposites attract', '1920s', 'pharoah', 'good versus evil']",1999
The Hobbit: An Unexpected Journey,False,"['Adventure', 'Fantasy', 'Action']",en,71.437,169,7.347,17681,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage', 'Graham McTavish']",['Peter Jackson'],"['based on novel or book', 'orcs', 'elves', 'dwarf', 'horseback riding', 'sword', 'burglar', 'legend', 'riddle', 'mountain', 'travel', 'troll', 'creature', 'thunderstorm', 'fantasy world', 'wizard', 'epic battle', 'lost ring', 'journey', 'goblin', 'tunnel', 'underground lake', 'buried treasure', 'invisibility', 'quest', 'good versus evil', 'backstory', 'epic fantasy', 'fantasy creature', 'dwarves', 'epic quest']",2012
Operation Napoleon,False,['Thriller'],is,71.417,112,6.3,72,"['Vivian Ólafsdóttir', 'Jack Fox', 'Iain Glen', 'Wotan Wilke Möhring']",['Óskar Thór Axelsson'],['based on novel or book'],2023
"Snoopy Presents: To Mom (and Dad), With Love",False,['Animation'],en,71.396,38,7.133,15,"['Tyler James Nathan', 'Terry McGurrin', 'Lexi Perri', 'Rob Tinkler']",['Clay Kaytis'],[],2022
Fight Club,False,['Drama'],en,71.253,139,8.44,27953,"['Edward Norton', 'Brad Pitt', 'Helena Bonham Carter', 'Meat Loaf']",['David Fincher'],"['dual identity', 'rage and hate', 'based on novel or book', 'nihilism', 'fight', 'support group', 'dystopia', 'insomnia', 'alter ego', 'breaking the fourth wall', 'split personality', 'quitting a job', 'dissociative identity disorder', 'self destructiveness']",1999
Django,False,"['Drama', 'History', 'Music']",fr,71.184,117,6.3,130,"['Reda Kateb', 'Cécile de France', 'Bea Palya', 'Bimbam Merstein']",['Étienne Comar'],[],2017
Fast Charlie,False,"['Action', 'Crime', 'Drama']",en,71.088,90,6.1,64,"['Pierce Brosnan', 'Morena Baccarin', 'James Caan', 'Gbenga Akinnagbe']",['Phillip Noyce'],"['based on novel or book', 'hitman']",2023
Fog City,False,"['Horror', 'Thriller']",en,71.034,97,4.571,7,"['Victoria Konefal', 'Connor Weil', 'Reese Mishler', 'Luke Benward']",['Steve Wolsh'],[],2023
Cobweb,False,['Horror'],en,70.856,88,6.7,568,"['Lizzy Caplan', 'Antony Starr', 'Cleopatra Coleman', 'Woody Norman']",['Samuel Bodin'],"['nightmare', 'halloween', 'dysfunctional family', 'pumpkin', 'basement', 'devil', 'demon', 'schoolteacher', 'child protagonist']",2023
The Matrix,False,"['Action', 'Science Fiction']",en,70.662,136,8.212,24406,"['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving']",['Lilly Wachowski'],"['man vs machine', 'martial arts', 'dream', 'artificial intelligence (a.i.)', 'saving the world', 'hacker', 'self sacrifice', 'virtual reality', 'fight', 'prophecy', 'truth', 'philosophy', 'dystopia', 'insurgence', 'simulated reality ', 'cyberpunk', 'dream world', 'woman director', 'messiah', 'action hero', 'gnosticism']",1999
Star Wars: The Last Jedi,False,"['Adventure', 'Action', 'Science Fiction']",en,70.597,152,6.812,14617,"['Mark Hamill', 'Carrie Fisher', 'Adam Driver', 'Daisy Ridley']",['Rian Johnson'],"['bunker', 'space battle', 'defeat', 'failure', 'sequel', 'space opera', 'military operation']",2017
The Club of Ugly Children,False,"['Action', 'Adventure', 'Family', 'Science Fiction']",nl,70.548,91,6.52,25,"['Jeroen van Koningsbrugge', 'Jelka van Houten', 'Sem Huismann', 'Maan de Steenwinkel']",['Jonathan Elbers'],"['escape', 'ugliness']",2019
The Arbors,False,"['Thriller', 'Horror', 'Science Fiction']",en,70.27,116,5.2,14,"['Drew Matthews', 'Ryan Davenport', 'Sarah Cochrane', 'Daryl Munroe']",['Clayton Witmer'],[],2020
The Conjuring 2,False,"['Horror', 'Thriller']",en,70.214,134,7.292,7981,"['Patrick Wilson', 'Vera Farmiga', 'Madison Wolfe', ""Frances O'Connor""]",['James Wan'],"['london, england', 'england', '1970s', 'spirit', 'single mother', 'demon', 'paranormal investigation', 'demonic possession', 'ghost', 'christmas', 'valak', 'the conjuring universe']",2016
Troy,False,"['Adventure', 'History', 'War', 'Action']",en,70.182,163,7.2,9614,"['Brad Pitt', 'Orlando Bloom', 'Eric Bana', 'Brian Cox']",['Wolfgang Petersen'],"['epic', 'adultery', 'sibling relationship', 'hostility', 'bravery', 'mythology', 'beauty', 'trojan war', 'wall', 'fraud', 'sword fight', 'battlefield', 'historical fiction', 'ancient world', 'based on song, poem or rhyme', 'pyre', 'ancient greece', 'peplum', 'trojan horse', 'bronze age', 'sparta greece', 'helen of troy', ""homer's iliad"", 'muscular men', 'ships', 'sword and sandal', 'helmet']",2004
Resident Evil: Death Island,False,"['Animation', 'Action', 'Horror']",ja,69.974,91,7.489,805,"['Matthew Mercer', 'Nicole Tompkins', 'Kevin Dorman', 'Stephanie Panisello']",['Eiichirō Hasumi'],"['alcatraz prison', 'outbreak', 'zombie', 'based on video game', 'survival horror', 'special agent', 'anime']",2023
The Advent Calendar,False,"['Horror', 'Thriller', 'Drama']",fr,69.865,104,6.568,257,"['Eugénie Derouand', 'Honorine Magnier', 'Clément Olivieri', 'Janis Abrikh']",['Patrick Ridremont'],"['supernatural', 'wheelchair user   ', 'car accident', 'christmas', 'advent calendar']",2021
THE FABLE: The Killer Who Doesn't Kill,False,"['Action', 'Comedy', 'Crime']",ja,69.719,132,7.191,48,"['Junichi Okada', 'Fumino Kimura', 'Shinichi Tsutsumi', 'Yurina Hirate']",['Kan Eguchi'],['aftercreditsstinger'],2021
Kung Fu Panda 3,False,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",en,69.554,95,6.9,5511,"['Jack Black', 'Bryan Cranston', 'Dustin Hoffman', 'Angelina Jolie']",['Jennifer Yuh Nelson'],"['martial arts', 'kung fu', 'china', 'fighter', 'village', 'sequel', 'panda', 'anthropomorphism', 'dragon', 'wuxia', 'woman director']",2016
Back to the Future,False,"['Adventure', 'Comedy', 'Science Fiction']",en,69.535,116,8.3,18912,"['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson', 'Crispin Glover']",['Robert Zemeckis'],"['flying car', 'race against time', 'clock tower', 'car race', 'lightning', 'guitar', 'plutonium', 'inventor', 'journey in the past', 'invention', 'time travel', 'bullying', 'mad scientist', 'fish out of water', 'terrorism', 'teenage love', 'destiny', 'hidden identity', 'love and romance', 'teenage life', 'changing the past or future', '1950s']",1985
Taken,False,"['Action', 'Thriller']",en,69.506,94,7.4,10668,"['Liam Neeson', 'Maggie Grace', 'Leland Orser', 'Famke Janssen']",['Pierre Morel'],"['rescue', 'paris, france', 'kidnapping', 'prostitution', 'sex trafficking', 'albanian', 'missing daughter', 'ex special forces', 'ex-cia agent', 'abduction', 'search for daughter', 'army veteran']",2008
8 Found Dead,False,"['Horror', 'Thriller']",en,69.32,83,6.0,1,"['Nancy Linehan Charles', 'Alisha Soper', 'Laura Buckles', 'Jenny Tran']",['Travis Greene'],"['bed and breakfast (b&b)', 'serial killer', 'home invasion']",2023
Terminator 2: Judgment Day,False,"['Action', 'Thriller', 'Science Fiction']",en,69.313,137,8.1,12092,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong', 'Robert Patrick']",['James Cameron'],"['cyborg', 'shotgun', 'dystopia', 'moral ambiguity', 'post-apocalyptic future', 'villain', 'time travel', 'mental institution', 'juvenile delinquent', 'fictional war', 'urban setting', 'troubled teen', 'morphing', 'nuclear weapons', 'shape shifter', 'savior', 'catch phrase', 'action hero', 'good versus evil', 'terminator']",1991
The Incredibles,False,"['Action', 'Adventure', 'Animation', 'Family']",en,69.275,115,7.702,16896,"['Craig T. Nelson', 'Holly Hunter', 'Sarah Vowell', 'Spencer Fox']",['Brad Bird'],"['island', 'hero', 'secret identity', 'superhero', 'wretch', 'cartoon', 'lawsuit', 'family relationships', 'super power', '1950s', '1960s', 'superhero family']",2004
Ice Age: Continental Drift,False,"['Animation', 'Comedy', 'Adventure', 'Family']",en,69.208,88,6.4,7195,"['Ray Romano', 'John Leguizamo', 'Denis Leary', 'Seann William Scott']",['Steve Martino'],"['sequel', 'prehistory', 'seal (animal)', 'melting ice', 'floating ice', 'land bridge', 'era', 'glaciale', 'deriva']",2012
Blade Runner,False,"['Science Fiction', 'Drama', 'Thriller']",en,69.196,118,7.933,13107,"['Harrison Ford', 'Rutger Hauer', 'Sean Young', 'Edward James Olmos']",['Ridley Scott'],"['android', 'flying car', 'bounty hunter', 'artificial intelligence (a.i.)', 'genetics', 'based on novel or book', 'dystopia', 'futuristic', 'fugitive', 'cyberpunk', 'los angeles, california', 'alcoholic', 'tech noir', 'neo-noir', 'philosophical', 'blade runner', '2010s']",1982
"2025: Blood, White & Blue",False,"['Horror', 'Action', 'Comedy']",en,69.122,135,5.0,3,"['Grid Margraf', 'Sheila Ellis', 'Natasha Dee Davis', 'Doug Boethin']",['Josh E. Williams'],"['undercover agent', 'secret agent', 'drug cartel', 'drug lord', 'purge']",2022
A Haunting in Venice,False,"['Mystery', 'Thriller', 'Crime']",en,69.095,104,6.734,1738,"['Kenneth Branagh', 'Kyle Allen', 'Camille Cottin', 'Jamie Dornan']",['Kenneth Branagh'],"['based on novel or book', 'venice, italy', 'loss of loved one', 'detective', 'medium', 'grief', 'whodunit', 'investigator', 'guilt', 'novelist', 'post world war ii', 'murder investigation', 'ghost', 'séance', 'murder mystery', 'spiritism', 'halloween night', 'palazzo', 'retired detective']",2023
Schindler's List,False,"['Drama', 'History', 'War']",en,69.046,195,8.572,15059,"['Liam Neeson', 'Ben Kingsley', 'Ralph Fiennes', 'Caroline Goodall']",['Steven Spielberg'],"['factory', 'hero', 'based on novel or book', 'nazi', 'concentration camp', 'ss (nazi schutzstaffel)', 'holocaust (shoah)', 'world war ii', 'ghetto', 'jew persecution', 'kraków, poland', 'defense industry', 'auschwitz-birkenau concentration camp', 'biography', 'based on true story', 'industrialist', 'historical fiction', 'black and white', 'train', 'poland', 'weapons manufacturer']",1993
American Sniper,False,"['War', 'Action']",en,68.893,133,7.431,12340,"['Bradley Cooper', 'Sienna Miller', 'Kyle Gallner', 'Cole Konis']",['Clint Eastwood'],"['sniper', 'based on novel or book', 'biography', 'iraq', 'u.s. navy seal', 'iraq war', 'u.s. soldier', 'u.s. marine', '9/11', 'pack', 'guns']",2014
Spider-Man: Far From Home,False,"['Action', 'Adventure', 'Science Fiction']",en,68.789,129,7.437,14844,"['Tom Holland', 'Samuel L. Jackson', 'Jake Gyllenhaal', 'Marisa Tomei']",['Jon Watts'],"['venice, italy', 'superhero', 'school trip', 'europe', 'based on comic', 'sequel', 'destruction', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)', 'tower of london']",2019
Salaar: Part 1 - Ceasefire,False,"['Action', 'Crime', 'Thriller']",te,68.779,174,6.786,35,"['Prabhas', 'Prithviraj Sukumaran', 'Shruti Haasan', 'Easwari Rao']",['Prashanth Neel'],[],2023
X,False,"['Horror', 'Thriller', 'Mystery']",en,68.695,106,6.75,2586,"['Mia Goth', 'Jenna Ortega', 'Brittany Snow', 'Kid Cudi']",['Ti West'],"['van', 'sheriff', 'war veteran', 'gas station', 'shotgun', '1970s', 'texas', 'alligator', 'porn star', 'serial killer', 'slasher', 'porn actress', 'elderly couple', 'isolated farmhouse', 'existentialism']",2022
White Boy Rick,False,"['Crime', 'Drama']",en,68.666,111,6.335,993,"['Richie Merritt', 'Matthew McConaughey', 'Jennifer Jason Leigh', 'Bel Powley']",['Yann Demange'],"['war on drugs', 'drug trafficking', 'fbi', 'based on true story', 'informant', 'detroit, michigan', '1980s']",2018
X-Men: Apocalypse,False,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",en,68.562,144,6.511,12410,"['James McAvoy', 'Michael Fassbender', 'Oscar Isaac', 'Jennifer Lawrence']",['Bryan Singer'],"['hero', 'superhero', 'mutant', 'based on comic', 'superhuman', 'super power', 'superhero team', 'world domination', 'aftercreditsstinger', '1980s']",2016
Train to Busan,False,"['Horror', 'Thriller', 'Action', 'Adventure']",ko,68.317,118,7.758,6925,"['Gong Yoo', 'Kim Su-an', 'Jung Yu-mi', 'Ma Dong-seok']",['Yeon Sang-ho'],"['zombie', 'train', 'survival horror', 'busan, south korea', 'south korea']",2016
Batman Begins,False,"['Action', 'Crime', 'Drama']",en,68.313,140,7.704,20020,"['Christian Bale', 'Liam Neeson', 'Katie Holmes', 'Michael Caine']",['Christopher Nolan'],"['martial arts', 'undercover', 'loss of loved one', 'secret identity', 'crime fighter', 'superhero', 'based on comic', 'rivalry', 'ninja', 'vigilante', 'tragic hero', 'super power', 'haunted by the past', 'evil doctor', 'master villain', 'unfulfilled love']",2005
Cinderella,False,"['Romance', 'Fantasy', 'Family', 'Drama']",en,68.311,105,6.807,6809,"['Lily James', 'Cate Blanchett', 'Richard Madden', 'Stellan Skarsgård']",['Kenneth Branagh'],"['magic', 'kingdom', 'fairy tale', 'prince', 'royalty', 'orphan', 'lost shoe', 'evil stepmother', 'based on fairy tale', 'retelling', 'live action and animation', 'live action remake']",2015
無力の王,False,[],ja,68.266,95,0.0,0,"['Mio Takaki', 'Jinpachi Nezu', 'Junko Enjou', 'Namihiko Ohmura']",['Kenji Ishiguro'],[],1981
It Chapter Two,False,['Horror'],en,68.205,169,6.847,8250,"['Jessica Chastain', 'James McAvoy', 'Bill Hader', 'Isaiah Mustafa']",['Andy Muschietti'],"['based on novel or book', 'clown', 'carnival', 'sequel', 'remake', 'maine', 'creature', 'fear', 'ancient evil', 'loss of a friend']",2019
Gladiator,False,"['Action', 'Drama', 'Adventure']",en,68.163,155,8.214,17469,"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Oliver Reed']",['Ridley Scott'],"['epic', 'gladiator', 'rome, italy', 'arena', 'senate', 'roman empire', 'parent child relationship', 'emperor', 'slavery', 'ancient rome', 'revenge', 'battlefield', 'slave auction', 'historical fiction', 'ancient world', 'combat', 'chariot', 'philosopher', 'barbarian horde', '2nd century', 'successor', 'commodus', 'maximus']",2000
WALL·E,False,"['Animation', 'Family', 'Science Fiction']",en,68.113,98,8.083,17840,"['Elissa Knight', 'Jeff Garlin', 'Fred Willard', 'John Ratzenberger']",['Andrew Stanton'],"['garbage', 'dystopia', 'space travel', 'distant future', 'loneliness', 'robot', 'aftercreditsstinger', 'duringcreditsstinger']",2008
A Creature Was Stirring,False,['Horror'],en,68.06,96,5.756,39,"['Chrissy Metz', 'Annalise Basso', 'Connor Paolo', 'Scout Taylor-Compton']",['Damien LeVeck'],"['monster', 'nurse', 'mythical creature', 'creature', 'blizzard', 'christmas horror', 'christmas', 'burglars']",2023
Kong: Skull Island,False,"['Action', 'Adventure', 'Fantasy']",en,67.998,118,6.521,9907,"['Tom Hiddleston', 'Samuel L. Jackson', 'John Goodman', 'Brie Larson']",['Jordan Vogt-Roberts'],"['vietnam veteran', 'island', 'monster', '1970s', 'expedition', 'giant monster', 'giant spider', 'creature', 'spin off', 'u.s. soldier', 'giant animal', 'kaiju', 'aftercreditsstinger', 'giant ape', 'monster island', 'water buffalo', 'uncharted', 'monsterverse']",2017
Kraven the Hunter,False,"['Action', 'Adventure', 'Science Fiction']",en,67.964,0,0.0,0,"['Aaron Taylor-Johnson', 'Russell Crowe', 'Ariana DeBose', 'Fred Hechinger']",['J.C. Chandor'],"['hunter', 'villain', 'based on comic', 'supervillain']",2024
Ocho apellidos marroquís,False,['Comedy'],es,67.907,97,5.9,10,"['Elena Irureta', 'Michelle Jenner', 'Julián López', 'María Ramos Mouhoub']",['Álvaro Fernández Armero'],[],2023
Moon Garden,False,"['Fantasy', 'Horror', 'Drama']",en,67.824,96,6.0,12,"['Augie Duke', 'Brionne Davis', 'Haven Lee Harris', 'Morgana Ignis']",['Ryan Stevens Harris'],"['coma', 'family drama', 'dreamworld']",2023
Shutter Island,False,"['Drama', 'Thriller', 'Mystery']",en,67.759,138,8.203,22879,"['Leonardo DiCaprio', 'Mark Ruffalo', 'Ben Kingsley', 'Max von Sydow']",['Martin Scorsese'],"['island', 'based on novel or book', 'hurricane', 'investigation', 'u.s. marshal', 'conspiracy theory', 'psychiatric hospital', 'psychological thriller', 'whodunit', 'neo-noir', '1950s']",2010
Three Steps Above Heaven,False,"['Romance', 'Drama']",es,67.684,122,7.74,2858,"['María Valverde', 'Mario Casas', 'Álvaro Cervantes', 'Marina Salas']",['Fernando González Molina'],"['friendship', 'based on novel or book', 'rebel', 'forbidden love', 'motorcycle crash', 'motor sport', 'street race', 'love', 'best friend', 'motorcycle', 'teenage love', 'first love', 'young love', 'illegal grand prix race', 'teen rebel', 'based on young adult novel']",2010
"Muchachos, la película de la gente",False,['Documentary'],es,67.624,100,6.75,8,['Guillermo Francella'],['Jesús Braceras'],[],2023
The Judge,False,['Drama'],en,67.303,141,7.304,3819,"['Robert Downey Jr.', 'Robert Duvall', 'Vera Farmiga', 'Billy Bob Thornton']",['David Dobkin'],"['small town', 'indiana, usa', 'judge', 'parent child relationship', 'dysfunctional family', 'trial', 'family relationships', 'lawyer', 'courtroom', 'courtroom drama', 'father son relationship', 'legal thriller']",2014
To Kill The Dragon,False,['Horror'],es,67.115,83,6.9,9,"['Justina Bustos', 'Guillermo Pfening', 'Luis Machín', 'Cecilia Cartasegna']",['Jimena Monteoliva'],[],2019
Trolls World Tour,False,"['Family', 'Animation', 'Comedy', 'Fantasy', 'Adventure', 'Music']",en,67.11,90,7.326,2031,"['Anna Kendrick', 'Justin Timberlake', 'Ron Funches', 'Rachel Bloom']",['Walt Dohrn'],"['dancing', 'friendship', 'concert', 'country music', 'guitar', 'cloud', 'saxophone', 'sequel', 'jail', 'based on toy', 'rock music', 'alien abduction', 'singing', 'king', 'desert', 'pop music', 'flute', 'mirage', 'electronic music', 'k-pop', 'spaceship', 'jukebox musical']",2020
Justice League,False,"['Action', 'Adventure', 'Science Fiction']",en,66.956,120,6.093,12464,"['Ben Affleck', 'Henry Cavill', 'Amy Adams', 'Gal Gadot']",['Joss Whedon'],"['superhero', 'based on comic', 'super power', 'superhero team', 'aftercreditsstinger', 'duringcreditsstinger', 'dc extended universe (dceu)']",2017
Cinderella,False,"['Family', 'Fantasy', 'Animation', 'Romance']",en,66.924,74,7.041,6381,"['Ilene Woods', 'Eleanor Audley', 'Verna Felton', 'Claire Du Brey']",['Hamilton Luske'],"['princess', 'based on novel or book', 'loss of loved one', 'mouse', 'ball', 'fairy', 'prince', 'musical', 'midnight', 'love', 'orphan', 'family', 'evil stepmother', 'stepsister', 'fairy godmother', 'cendrillon']",1950
